"","colunas","faixa_temporal_por_setores","coeficiente_B","sse","volatilidade","mape","b_volatilidade"
"36","Petróleo, Gás e Biocombustíveis",2010,0.764999999999999,0.0532854898526952,1.19979032721813,0.0887186198545073,0.917839600321868
"37","Telecomunicação / Telefonia Fixa",2010,0.839699999999999,0.178979401947712,1.10370408850147,0.163893624553243,0.926780323114683
"38","Telecomunicação / Telefonia Móvel",2010,0.721599999999999,0.0647692781885211,1.19000127654157,0.0737649402149277,0.858704921152396
"39","Utilidade Públ / Água Saneamento",2010,0.871999999999999,0.0420348032190992,1.06310590624781,0.0622879925470015,0.927028350248089
"40","Bens Indls / Mat Transporte",2011,1.1916,0.164598566992373,0.854981425690935,0.156033857094769,1.01879586685332
"41","Cons N Cíclico / Bebidas",2011,1.8024,0.0415643138283289,0.608462475152214,0.0735890859593219,1.09669276521435
"42","Cons N Cíclico / Fumo",2011,1.0663,0.0390974841621245,0.895369975799491,0.093984690731051,0.954733005194997
"43","Cons N Cíclico / Pr Pessoal Limp",2011,0.788199999999999,0.0402805721434694,1.18079111454579,0.0679294435774328,0.930699556484991
"44","Consumo Cíclico / Comércio",2011,0.706999999999999,0.208822206285399,1.25850960646294,0.167336298579928,0.889766291769297
"45","Consumo Cíclico / Tecid Vest Calç",2011,0.962499999999999,0.018687455689771,0.992623101124265,0.0606044910726542,0.955399734832104
"46","Mats Básicos / Mineração",2011,1.0288,0.0323366064095168,0.966878029974832,0.0840322100006958,0.994724117238107
"47","Mats Básicos / Químicos",2011,1.0562,0.0574700466677001,0.941870769882321,0.116440707963829,0.994803907149707
"48","Mats Básicos / Sid Metalurgia",2011,0.826699999999999,0.209964917064206,1.11088805203831,0.176257716601731,0.91837115262007
"49","Petróleo, Gás e Biocombustíveis",2011,1.0444,0.0333452521851692,0.955193293341934,0.0610455041539462,0.997603875566316
"50","Telecomunicação / Telefonia Fixa",2011,1.0991,0.197126310103071,0.900961408993151,0.201824412873338,0.990246684624372
"51","Telecomunicação / Telefonia Móvel",2011,1.3466,0.0250375866504278,0.750625508884188,0.0618908266277247,1.01079231026345
"52","Utilidade Públ / Água Saneamento",2011,0.6422,0.0777728029416592,1.36208047115373,0.0918304891696832,0.874728078574925
"53","Bens Indls / Mat Transporte",2012,0.801299999999999,0.183152039104495,1.12937963272316,0.15194407534422,0.904971899701067
"54","Cons N Cíclico / Bebidas",2012,0.896199999999999,0.0259473413402376,1.060949322267,0.0500828707724667,0.950822782615684
"55","Cons N Cíclico / Fumo",2012,0.780699999999999,0.0899478754686484,1.16561054975001,0.116625403504905,0.909992156189832
"56","Cons N Cíclico / Pr Pessoal Limp",2012,0.752099999999999,0.0110078151707071,1.1699660949667,0.0385804513222402,0.879931500024454
"57","Consumo Cíclico / Comércio",2012,0.813999999999999,0.180501226393974,1.1236638371393,0.159216217955229,0.914662363431389
"58","Consumo Cíclico / Tecid Vest Calç",2012,0.876399999999999,0.0496240875118116,1.06657413751017,0.0888540515481874,0.934745574113912
"59","Mats Básicos / Mineração",2012,0.924199999999999,0.0147437496249601,1.05194547523981,0.0467701819104357,0.972208008216631
"60","Mats Básicos / Químicos",2012,0.788899999999999,0.0124159825125236,1.14366539288479,0.0370351500849036,0.90223762844681
"61","Mats Básicos / Sid Metalurgia",2012,0.851499999999999,0.199474267723072,1.10689662984617,0.162284001577657,0.942522480314013
"62","Petróleo, Gás e Biocombustíveis",2012,0.914499999999999,0.0198110328775122,1.06206531715293,0.0383923985329974,0.971258732536353
"63","Telecomunicação / Telefonia Fixa",2012,1.0215,0.143273519263538,0.948061003168647,0.135823506410638,0.968444314736773
"64","Telecomunicação / Telefonia Móvel",2012,0.884899999999999,0.0428488446776403,1.07291229544562,0.0949976791429291,0.949420090239828
"65","Utilidade Públ / Água Saneamento",2012,0.996199999999999,0.0257287260732329,0.959678501187936,0.0768569805383606,0.956031722883421
"66","Bens Indls / Mat Transporte",2013,0.699,0.194718370808764,1.23043505611681,0.162043316594126,0.86007410422565
"67","Cons N Cíclico / Bebidas",2013,0.799299999999999,0.0642586876646642,1.15004664837496,0.0915250739998487,0.919232286046104
"68","Cons N Cíclico / Fumo",2013,0.747199999999999,0.0285323134974318,1.18685481620599,0.0683734860283762,0.886817918669115
"69","Cons N Cíclico / Pr Pessoal Limp",2013,0.6635,0.026467225883294,1.27196142757055,0.0681947038027166,0.84394640719306
"70","Consumo Cíclico / Comércio",2013,0.716199999999999,0.22046015991683,1.25336339678516,0.1623801248043,0.89765886477753
"71","Consumo Cíclico / Tecid Vest Calç",2013,0.799899999999999,0.0282656086956248,1.16296319885469,0.0641142256271915,0.930254262763865
"72","Mats Básicos / Mineração",2013,0.713099999999999,0.0817803896756637,1.27501854053515,0.116691416667859,0.909215721255614
"73","Mats Básicos / Químicos",2013,0.789899999999999,0.0386619790086097,1.15143464753813,0.0789989782316086,0.909518228090368
"74","Mats Básicos / Sid Metalurgia",2013,0.809399999999999,0.188088886706004,1.12718919049243,0.146266232435259,0.912346930784572
