"","coeficiente_B","sse","volatilidade","mape","b_volatilidade"
"69",0.5889,0.135495361784871,1.50205770773437,0.118924197591563,0.88456178408477
"70",0.5204,0.152947127167928,1.49582629682049,0.120415059792397,0.778428004865383
"71",1.108,0.126909937428473,0.899242781458377,0.159591063822986,0.996361001855882
"72",0.4451,0.340706574199788,1.66400343447355,0.184774886986324,0.740647928684177
"73",0.7968,0.235084582099172,1.2541226227251,0.198193842172308,0.99928490578736
"74",0.886599999999999,0.337232522880353,1.09493854567921,0.230195150092168,0.970772514599186
"75",0.8718,0.0881865339857233,1.12596373425909,0.106579797678804,0.981615183527075
"76",0.894,0.116391305397198,1.07795732585808,0.114418557314358,0.963693849317123
"77",0.67,0.0787439601381277,1.36939444730999,0.0900592771376668,0.917494279697693
"78",0.5938,0.233243770781702,1.48636661697626,0.183266342427988,0.882604497160503
