"Bens Indls / Mat Transporte" "Cons N Básico / Alimentos Processados" "Cons N Cíclico / Fumo" "Cons N Cíclico / Pr Pessoal Limp" "Const e Transp / Constr e Engenh" "Consumo Cíclico / Tecid Vest Calç" "Utilidade Públ / Água Saneamento"
12.595 25.445 22.77 39.98 6.88833333333333 22.75 24.35
12.49 25.4375 22.42 39.73 6.81833333333333 22.77 23.82
12.285 25.3975 22.48 39.68 6.885 22.52 23.42
12.26 25.4225 22.84 40.52 6.945 22.9 23.29
12.555 25.42 22.42 40.04 7.00333333333333 23.18 23.04
12.68 25.3525 23.11 39.73 6.94833333333333 22.95 22.93
12.62 25.17 22.92 38.84 6.91833333333333 23.35 22.6
12.515 24.585 21.99 37.96 6.74333333333333 22.97 21.86
12.56 24.1375 21.84 38.08 6.66 21.83 21.52
12.62 24.17 22.06 37.98 6.67666666666667 21.67 22.29
12.595 24.055 22.16 38.98 6.685 21.44 21.95
12.5 23.6125 22.13 38.64 6.61666666666667 21.45 21.94
12.235 23.365 22.26 38.25 6.65666666666667 21.31 21.81
12.05 23.4575 23.04 39.04 6.78666666666667 22.05 22.05
11.79 23.625 22.55 39.14 6.77 21.74 22.35
11.675 23.4275 23.25 38.2 6.66166666666667 21.08 22.01
11.65 23.845 23.89 38.46 6.76833333333333 21.08 22.71
11.535 23.58 22.88 38.24 6.73166666666667 20.79 22.5
11.415 23.815 22.66 38.3 6.72666666666667 21.35 22.5
11.3 23.3575 22.48 37.95 6.69 21.29 22.39
11.19 23.5025 22.16 37.64 6.74333333333333 21.52 22.36
11.2 23.72 22.68 38.58 6.80166666666667 21.92 22.76
11.255 24.3975 22.75 39.46 6.81 22.26 22.19
11.23 24.4775 22.18 39.73 6.8 22.63 21.14
11.435 24.6325 22.22 39.63 6.87333333333333 23.57 21.47
11.535 24.5975 22.23 40.07 6.815 23.65 21.79
11.645 24.5625 22.08 39.85 6.89666666666667 23.87 21.86
11.44 24.32 21.22 39.83 6.90666666666667 24.13 21.23
11.62 24.2775 21.26 39.58 6.85166666666667 24.11 21.06
11.6 24.4425 21.25 38.71 6.87166666666667 24.06 21.55
11.585 24.355 21.2 38.35 6.775 23.95 21.85
11.585 24.2725 20.63 38.38 6.84833333333333 23.65 21.65
11.52 24.07 20.28 38.64 6.93833333333333 23.43 21.85
11.56 23.6375 19.84 37.76 6.645 23 21.05
