"","colunas","faixa_temporal_por_setores","coeficiente_B","sse","volatilidade","mape","b_volatilidade"
"34","Mats Básicos / Químicos","2009.1",0.5796,0.0907611091744913,1.40661133597896,0.111993627290164,0.815271930333405
"35","Mats Básicos / Sid Metalurgia","2009.1",0.6158,0.240627892380874,1.385151722238,0.166493960781265,0.852976430554161
"36","Petróleo, Gás e Biocombustíveis","2009.1",0.800299999999999,0.0205412342810424,1.17798796684056,0.0520355324268923,0.942743769862499
"37","Telecomunicação / Telefonia Fixa","2009.1",0.6099,0.362937094243799,1.35263883109138,0.201197077611315,0.824974423082633
"38","Telecomunicação / Telefonia Móvel","2009.1",0.6181,0.10424374323785,1.30593246332347,0.0936140343859406,0.807196855580237
"39","Utilidade Públ / Água Saneamento","2009.1",0.632,0.0232855431199164,1.30398530694971,0.0511403756902906,0.824118713992217
"40","Bens Indls / Mat Transporte","2009.2",0.977999999999999,0.11679916657368,0.96124388232895,0.127153986094308,0.940096516917712
"41","Cons N Cíclico / Bebidas","2009.2",1.7545,0.0648843794358186,0.511801133528799,0.05929889898848,0.897955088776278
"42","Cons N Cíclico / Fumo","2009.2",1.0855,0.0818332201129173,0.889876554197047,0.0798466196056757,0.965960999580894
"43","Cons N Cíclico / Pr Pessoal Limp","2009.2",0.853299999999999,0.0176007077025252,1.10001142216609,0.0502070347850386,0.938639746534323
"44","Consumo Cíclico / Comércio","2009.2",0.836399999999999,0.0677980695577168,1.11516750106455,0.094267284879449,0.932726097890389
"45","Consumo Cíclico / Tecid Vest Calç","2009.2",1.0625,0.0138514383014588,0.901934265296755,0.0307514500082427,0.958305156877802
"46","Mats Básicos / Mineração","2009.2",0.888599999999999,0.0728597049311805,1.10557450930831,0.0922931230078468,0.982413508971363
"47","Mats Básicos / Químicos","2009.2",0.786299999999999,0.0109610630884077,1.14684257513198,0.0318455320266078,0.901762316826275
"48","Mats Básicos / Sid Metalurgia","2009.2",0.750699999999999,0.196383996815097,1.21985677968841,0.144009065688686,0.915746484512088
"49","Petróleo, Gás e Biocombustíveis","2009.2",0.722299999999999,0.0514805724517702,1.2465740521792,0.0520899347042537,0.900400437889035
"50","Telecomunicação / Telefonia Fixa","2009.2",0.728499999999999,0.172256927193526,1.20611517130613,0.141119258697047,0.878654902296515
"51","Telecomunicação / Telefonia Móvel","2009.2",0.784999999999999,0.0362221853651536,1.11163728283546,0.0689782249957087,0.872635267025835
"52","Utilidade Públ / Água Saneamento","2009.2",0.801499999999999,0.0151976993809265,1.06489707053115,0.0464050517463444,0.853515002030716
"53","Bens Indls / Mat Transporte","2010.1",0.7005,0.291579562485977,1.25359743904356,0.215344324716923,0.878145006050014
"54","Cons N Cíclico / Bebidas","2010.1",0.838899999999999,0.141488009109468,1.10398552237149,0.0848014075246635,0.926133454717442
"55","Cons N Cíclico / Fumo","2010.1",1.0386,0.0468013729998994,0.927650677635802,0.0854839697363567,0.963457993792544
"56","Cons N Cíclico / Pr Pessoal Limp","2010.1",0.717399999999999,0.0690479137574915,1.24928252501219,0.100769497873988,0.896235283443744
"57","Consumo Cíclico / Comércio","2010.1",0.66,0.335661465803059,1.32236437427299,0.209755736667399,0.872760487020174
"58","Consumo Cíclico / Tecid Vest Calç","2010.1",1.0038,0.0211656371969637,0.986161965488682,0.0585004166477709,0.989909380957539
"59","Mats Básicos / Mineração","2010.1",0.826899999999999,0.0323456074588363,1.15450042300333,0.0687224170587449,0.954656399781452
"60","Mats Básicos / Químicos","2010.1",0.956499999999999,0.0356045539961243,0.967139465438224,0.0838936398694213,0.92506889869166
"61","Mats Básicos / Sid Metalurgia","2010.1",0.700999999999999,0.258760420950565,1.28192228370848,0.172098101656431,0.898627520879643
"62","Petróleo, Gás e Biocombustíveis","2010.1",0.847799999999999,0.0798522710151247,1.13201124158697,0.119690883844257,0.959719130617432
"63","Telecomunicação / Telefonia Fixa","2010.1",0.879299999999999,0.215124298897192,1.07653621217609,0.176101847002632,0.946598291366435
"64","Telecomunicação / Telefonia Móvel","2010.1",0.779699999999999,0.0531065395454404,1.1480937119534,0.0608698206292344,0.895168667210065
"65","Utilidade Públ / Água Saneamento","2010.1",0.736899999999999,0.0840714753805037,1.22434501669593,0.0981040117970823,0.90221984280323
"66","Bens Indls / Mat Transporte","2010.2",1.4613,0.124059468785284,0.700682452837072,0.108567690839408,1.02390726833081
"67","Cons N Cíclico / Bebidas","2010.2",0.820199999999999,0.096594161843506,1.04427025489747,0.100921408660694,0.856510463066904
"68","Cons N Cíclico / Fumo","2010.2",0.6711,0.104190951447871,1.28118368155663,0.116941554760938,0.859802368692654
"69","Cons N Cíclico / Pr Pessoal Limp","2010.2",0.6281,0.0445859458829779,1.30808809065606,0.0805398889600289,0.821610129741071
"70","Consumo Cíclico / Comércio","2010.2",0.777499999999999,0.292115188413367,1.18108057958445,0.201967403976094,0.918290150626909
"71","Consumo Cíclico / Tecid Vest Calç","2010.2",5.1289,0.0121832333291137,0.269551419334243,0.0452789477229225,1.3825022746234
"72","Mats Básicos / Mineração","2010.2",0.850499999999999,0.0116344355010442,1.10913045200097,0.030853209391216,0.943315449426824
"73","Mats Básicos / Químicos","2010.2",1.5788,0.018731980167254,0.668674920849554,0.0528531294255247,1.05570396503728
"74","Mats Básicos / Sid Metalurgia","2010.2",0.6212,0.354382594966109,1.36247180017904,0.209401704636378,0.84636748227122
"75","Petróleo, Gás e Biocombustíveis","2010.2",0.709599999999999,0.0451695322097976,1.25769167764966,0.0761893781404224,0.892458014460198
"76","Telecomunicação / Telefonia Fixa","2010.2",0.811299999999999,0.145063488162308,1.13672398676306,0.1481026446404,0.92222417046087
"77","Telecomunicação / Telefonia Móvel","2010.2",0.6531,0.0840195012952903,1.26685984587958,0.0852810692914581,0.827386165343954
"78","Utilidade Públ / Água Saneamento","2010.2",0.979499999999999,0.0247322133570575,0.976480753742867,0.0418272431091953,0.956462898291137
"79","Bens Indls / Mat Transporte","2011.1",0.870699999999999,0.251287812250127,1.08563681519656,0.177382989496155,0.945263974991644
"80","Cons N Cíclico / Bebidas","2011.1",1.1672,0.0675807701292708,0.885307719556952,0.0954991945351554,1.03333117026687
"81","Cons N Cíclico / Fumo","2011.1",0.770199999999999,0.107743919967786,1.13771205631718,0.139657908354463,0.876265825775491
"82","Cons N Cíclico / Pr Pessoal Limp","2011.1",0.728799999999999,0.0497357583617841,1.24304460324593,0.0801975440534206,0.905930906845632
"83","Consumo Cíclico / Comércio","2011.1",0.787599999999999,0.123960011556297,1.17716662699095,0.1174370507111,0.927136435418071
"84","Consumo Cíclico / Tecid Vest Calç","2011.1",0.920499999999999,0.00943460396024203,1.03644926957655,0.036855236356514,0.954051552645213
"85","Mats Básicos / Mineração","2011.1",0.829799999999999,0.0497360346497217,1.12931408325159,0.0894961860535357,0.937104826282168
"86","Mats Básicos / Químicos","2011.1",0.8421,0.091358893894505,1.11324407523746,0.120082752047642,0.937462835757465
"87","Mats Básicos / Sid Metalurgia","2011.1",0.932299999999999,0.189335066808479,1.01967538315232,0.175183913912894,0.950643359712907
"88","Petróleo, Gás e Biocombustíveis","2011.1",1.2018,0.0905833168726336,0.868184782371068,0.113686219888762,1.04338447145355
