"","colunas","faixa_temporal_por_setores","coeficiente_B","sse","volatilidade","mape","b_volatilidade"
"23","Petróleo, Gás e Biocombustíveis","2008.2",0.6715,0.0863789701601108,1.31069914210236,0.12680251553769,0.880134473921735
"24","Telecomunicação / Telefonia Fixa","2008.2",0.6177,0.315961963446772,1.32814641649966,0.185281639505162,0.82039604147184
"25","Telecomunicação / Telefonia Móvel","2008.2",0.847899999999999,0.0221486375759394,1.11637472612086,0.0352069119921923,0.946574130277876
"26","Utilidade Públ / Água Saneamento","2008.2",0.716799999999999,0.175073344496505,1.30029885418324,0.168301617401992,0.932054218678545
"27","Bens Indls / Mat Transporte","2008.3",0.837499999999999,0.13913304055197,1.10553726723195,0.132284113778846,0.925887461306757
"28","Cons N Cíclico / Bebidas","2008.3",2.744,0.141128969752629,0.438443080657846,0.106562848549354,1.20308781332513
"29","Cons N Cíclico / Fumo","2008.3",0.754499999999999,0.17398699790564,1.19806547130242,0.166132297686619,0.903940398097675
"30","Cons N Cíclico / Pr Pessoal Limp","2008.3",0.740499999999999,0.11625270626895,1.2514905722726,0.142587935511495,0.926728768767859
"31","Consumo Cíclico / Comércio","2008.3",1.0819,0.0719925693168391,0.989266093387676,0.0881353811863422,1.07028698643613
"32","Consumo Cíclico / Tecid Vest Calç","2008.3",0.9988,0.0539881298410754,0.963813585243401,0.0753302373457689,0.962657008941109
"33","Mats Básicos / Mineração","2008.3",0.795699999999999,0.0170919666326701,1.18434706881282,0.0530462739149545,0.94238496265436
"34","Mats Básicos / Químicos","2008.3",1.0515,0.0600660512714575,0.977492852948423,0.100197044967707,1.02783373487527
"35","Mats Básicos / Sid Metalurgia","2008.3",0.792099999999999,0.0930113669726717,1.1988019567252,0.114592396147234,0.94957102992203
"36","Petróleo, Gás e Biocombustíveis","2008.3",0.6727,0.108435137479354,1.34085185687406,0.149054357540138,0.90199104411918
"37","Telecomunicação / Telefonia Fixa","2008.3",0.963899999999999,0.109992115528732,1.05781306932463,0.0891527304923785,1.01962601752201
"38","Telecomunicação / Telefonia Móvel","2008.3",0.6415,0.110138022416987,1.30250789650952,0.135831495269962,0.835558815610857
"39","Utilidade Públ / Água Saneamento","2008.3",0.940599999999999,0.0348924355598316,1.0575568530048,0.0878511234293462,0.994737975936314
"40","Bens Indls / Mat Transporte","2008.4",0.719599999999999,0.220458342745519,1.24230642094974,0.176033865751454,0.893963700515432
"41","Cons N Cíclico / Bebidas","2008.4",0.798899999999999,0.257083363636543,1.08727001369431,0.208211055954501,0.868620013940383
"42","Cons N Cíclico / Fumo","2008.4",0.6707,0.178805156116996,1.24590046597106,0.163609416851802,0.83562544252679
"43","Cons N Cíclico / Pr Pessoal Limp","2008.4",0.4956,0.115711909481709,1.59167784461853,0.127176594014957,0.788835539792943
"44","Consumo Cíclico / Comércio","2008.4",0.800699999999999,0.185336118349263,1.18752361055609,0.144202389879548,0.95085015497226
"45","Consumo Cíclico / Tecid Vest Calç","2008.4",0.744499999999999,0.0152894644375607,1.08097417693672,0.0445646234020586,0.804785274729387
"46","Mats Básicos / Mineração","2008.4",0.890499999999999,0.0184139966826737,1.1064291327513,0.0362589170421804,0.985275142715032
"47","Mats Básicos / Químicos","2008.4",0.913799999999999,0.0756515279379676,1.05182155040621,0.132156878793793,0.961154532761194
"48","Mats Básicos / Sid Metalurgia","2008.4",0.804199999999999,0.0572513509920824,1.16059595009956,0.0832852275521112,0.933351263070065
"49","Petróleo, Gás e Biocombustíveis","2008.4",0.701399999999999,0.0174582489452452,1.27755733720529,0.0358131725304365,0.896078716315789
"50","Telecomunicação / Telefonia Fixa","2008.4",0.6868,0.360293488203268,1.28528813734552,0.243769807898217,0.882735892728903
"51","Telecomunicação / Telefonia Móvel","2008.4",0.911799999999999,0.0259435469517558,1.03947819840013,0.0637670192844055,0.947796221301237
"52","Utilidade Públ / Água Saneamento","2008.4",0.6772,0.106659164534482,1.35890987654062,0.104295544997058,0.920253768393308
"53","Bens Indls / Mat Transporte","2009.1",0.710499999999999,0.329172557465676,1.26889323782419,0.194504115603449,0.901548645474086
"54","Cons N Cíclico / Bebidas","2009.1",0.981399999999999,0.241805985884869,0.842937435741808,0.137283726449781,0.82725879943701
"55","Cons N Cíclico / Fumo","2009.1",1.4057,0.105325339004465,0.710693427237903,0.108616089013342,0.99902175066832
"56","Cons N Cíclico / Pr Pessoal Limp","2009.1",0.769099999999999,0.13063031033938,1.18657126538174,0.0942559824109753,0.912591960205095
"57","Consumo Cíclico / Comércio","2009.1",0.7029,0.282453622729713,1.28112212376934,0.188526798302599,0.900500740797469
"58","Consumo Cíclico / Tecid Vest Calç","2009.1",0.867999999999999,0.0219444099514994,0.994550752923809,0.0469671212174428,0.863270053537865
"59","Mats Básicos / Mineração","2009.1",0.592,0.114225677631971,1.44066967322556,0.120985867901961,0.852876446549531
"60","Mats Básicos / Químicos","2009.1",0.6116,0.0621632682293471,1.37251883235787,0.0970128114738915,0.839432517870073
"61","Mats Básicos / Sid Metalurgia","2009.1",0.5768,0.317713853508187,1.44800908408169,0.186978505635104,0.835211639698319
"62","Petróleo, Gás e Biocombustíveis","2009.1",0.802299999999999,0.0247347814340502,1.19176625401751,0.0478345993098679,0.956154065598247
"63","Telecomunicação / Telefonia Fixa","2009.1",0.6225,0.32317826205677,1.32864047368947,0.196500636525958,0.827078694871695
"64","Telecomunicação / Telefonia Móvel","2009.1",0.5845,0.264719563471839,1.32623617961021,0.185711310650768,0.775185046982168
"65","Utilidade Públ / Água Saneamento","2009.1",0.5541,0.0880357352858374,1.3609893585392,0.107685478537444,0.754124203566571
"66","Bens Indls / Mat Transporte","2009.2",0.5999,0.442098910089312,1.39670644523963,0.244626795512277,0.837884196499254
"67","Cons N Cíclico / Bebidas","2009.2",0.6622,0.403411512843596,1.1950722291028,0.188143848272482,0.791376830111874
"68","Cons N Cíclico / Fumo","2009.2",0.717499999999999,0.14892093014111,1.19893669235672,0.142223439568872,0.860237076765945
"69","Cons N Cíclico / Pr Pessoal Limp","2009.2",0.6466,0.125808089542075,1.36241761944426,0.119643969992961,0.880939232732659
"70","Consumo Cíclico / Comércio","2009.2",0.762999999999999,0.102222977672427,1.19424132570788,0.115578946549462,0.911206131515111
"71","Consumo Cíclico / Tecid Vest Calç","2009.2",1.3296,0.0586381135290244,0.734475109920882,0.0983338409458819,0.976558106150805
"72","Mats Básicos / Mineração","2009.2",0.884399999999999,0.055355117703192,1.12204413894642,0.076402534447639,0.992335836484213
"73","Mats Básicos / Químicos","2009.2",0.5651,0.147060941883074,1.43491335544007,0.12557795316806,0.810869537159184
"74","Mats Básicos / Sid Metalurgia","2009.2",0.6446,0.190530906406963,1.33985745546859,0.130597051588567,0.863672115795053
"75","Petróleo, Gás e Biocombustíveis","2009.2",0.785899999999999,0.0437884549639733,1.19001628569181,0.0969908036942681,0.935233798925192
"76","Telecomunicação / Telefonia Fixa","2009.2",0.5864,0.545076446776803,1.45237978496912,0.257480820625852,0.851675505905892
"77","Telecomunicação / Telefonia Móvel","2009.2",0.6759,0.085826462100454,1.27292872618919,0.0671639571537639,0.860372526031273
"78","Utilidade Públ / Água Saneamento","2009.2",0.722599999999999,0.0393829547163394,1.2638228302825,0.0593645017883946,0.913238377162133
"79","Bens Indls / Mat Transporte","2009.3",0.939999999999999,0.128861637581249,0.98920124358324,0.143872587543086,0.929849168968245
"80","Cons N Cíclico / Bebidas","2009.3",1.0317,0.322316680011264,0.782629738161753,0.189553811081359,0.807439100861481
"81","Cons N Cíclico / Fumo","2009.3",1.6092,0.0700298012765105,0.663677506741207,0.0684059377918241,1.06798984384795
"82","Cons N Cíclico / Pr Pessoal Limp","2009.3",0.757699999999999,0.0474877588852462,1.18416696864061,0.0797507145308313,0.897243312138989
"83","Consumo Cíclico / Comércio","2009.3",0.807299999999999,0.114565299572774,1.16288090806257,0.141074111649571,0.938793757078912
"84","Consumo Cíclico / Tecid Vest Calç","2009.3",1.065,0.0225547569186594,0.940428785029282,0.0507469486085543,1.00155665605619
"85","Mats Básicos / Mineração","2009.3",0.971299999999999,0.0810077492124104,1.04072749309193,0.120082223309028,1.01085861404019
"86","Mats Básicos / Químicos","2009.3",0.909999999999999,0.0184454957684828,1.0307787684534,0.0390421874327131,0.938008679292593
"87","Mats Básicos / Sid Metalurgia","2009.3",0.743699999999999,0.275708542761811,1.24099953549107,0.168748171255153,0.922931354544707
"88","Petróleo, Gás e Biocombustíveis","2009.3",0.732199999999999,0.0550033145983668,1.25612859181948,0.0813635478704585,0.919737354930222
"89","Telecomunicação / Telefonia Fixa","2009.3",0.781799999999999,0.130898906838099,1.14656493991923,0.132618847793189,0.896384470028853
"90","Telecomunicação / Telefonia Móvel","2009.3",0.6958,0.0588577919964747,1.20933426755927,0.0730884796496624,0.84145478336774
"91","Utilidade Públ / Água Saneamento","2009.3",0.815399999999999,0.0591056786352264,1.09220527043809,0.0927783990483082,0.890584177515218
"92","Bens Indls / Mat Transporte","2009.4",1.0544,0.132670639457785,0.931826610915922,0.123927685298312,0.982517978549748
"93","Cons N Cíclico / Bebidas","2009.4",2.1663,0.0327914298523104,0.469335644267968,0.0478082259047498,1.0167218061777
"94","Cons N Cíclico / Fumo","2009.4",0.6074,0.295748171103445,1.44714532071999,0.215321092660428,0.878996067805322
"95","Cons N Cíclico / Pr Pessoal Limp","2009.4",0.943699999999999,0.0199068341535628,1.04685184020107,0.0526218734040691,0.987914081597749
"96","Consumo Cíclico / Comércio","2009.4",0.853499999999999,0.0596879156610595,1.11257555432767,0.0907613421370882,0.949583235618665
"97","Consumo Cíclico / Tecid Vest Calç","2009.4",1.0486,0.0182112261913676,0.878637852127834,0.0439447781264217,0.921339651741247
"98","Mats Básicos / Mineração","2009.4",0.8371,0.11107844916472,1.17015153002079,0.0813805438572756,0.979533845780403
"99","Mats Básicos / Químicos","2009.4",0.697299999999999,0.015645633551376,1.28316426924032,0.0403306649429797,0.894750444941274
"100","Mats Básicos / Sid Metalurgia","2009.4",0.781799999999999,0.180838135500506,1.20158281563339,0.160543333364463,0.939397445262183
"101","Petróleo, Gás e Biocombustíveis","2009.4",0.7351,0.11042181802949,1.23916648926244,0.0944829415255855,0.91091128625682
"102","Telecomunicação / Telefonia Fixa","2009.4",0.6809,0.369608036763657,1.29545990008586,0.209960125937288,0.882078645968462
"103","Telecomunicação / Telefonia Móvel","2009.4",0.820299999999999,0.0509898793970539,1.11718115519684,0.0928428378829216,0.916423701607967
"104","Utilidade Públ / Água Saneamento","2009.4",0.820399999999999,0.0287966563378932,1.0466367719292,0.0481108811183486,0.858660807690715
"105","Bens Indls / Mat Transporte","2010.1",0.6587,0.356691732796391,1.32629714739111,0.237739935288795,0.873631930986524
"106","Cons N Cíclico / Bebidas","2010.1",0.853099999999999,0.170329946731327,1.07989882692351,0.109273251244731,0.921261689248445
"107","Cons N Cíclico / Fumo","2010.1",1.1519,0.0538239917117247,0.885850963288193,0.0788648583256808,1.02041172461167
"108","Cons N Cíclico / Pr Pessoal Limp","2010.1",0.802299999999999,0.0920409688003248,1.20825441911383,0.114300356893605,0.969382520455025
"109","Consumo Cíclico / Comércio","2010.1",0.714499999999999,0.296870375620186,1.25006708678536,0.21277865013265,0.893172933508139
"110","Consumo Cíclico / Tecid Vest Calç","2010.1",0.855999999999999,0.0218706582142425,1.1342055200568,0.0460985888619299,0.97087992516862
"111","Mats Básicos / Mineração","2010.1",0.840899999999999,0.0305628709420283,1.14566628072141,0.0712848566414027,0.963390775458632
"112","Mats Básicos / Químicos","2010.1",1.1762,0.0233000895366726,0.836011391679309,0.0491640752833345,0.983316598893203
"113","Mats Básicos / Sid Metalurgia","2010.1",0.778699999999999,0.341938296169918,1.20883971706082,0.207847029497136,0.941323487675259
"114","Petróleo, Gás e Biocombustíveis","2010.1",0.767899999999999,0.0718875622911632,1.20398748561475,0.1003779842011,0.924541990203565
"115","Telecomunicação / Telefonia Fixa","2010.1",0.952999999999999,0.139800737585595,1.01684761727499,0.149252317912983,0.969055779263065
"116","Telecomunicação / Telefonia Móvel","2010.1",0.820899999999999,0.0705144526822981,1.0961611827864,0.079032529497505,0.899838714949355
"117","Utilidade Públ / Água Saneamento","2010.1",0.6757,0.113976859646154,1.30237821360195,0.119156467278508,0.880016958930838
"118","Bens Indls / Mat Transporte","2010.2",0.6912,0.250301860785185,1.25749095042405,0.197968979573729,0.869177744933103
"119","Cons N Cíclico / Bebidas","2010.2",0.848699999999999,0.133021141741374,1.15424528984296,0.0932491018651201,0.979607977489719
